-0.25158,-2.1099,7.7104,6.6331,2.3153,-4.5906,2.7738,4.2196,-3.9304,-0.85115,4.6194,7.8306,5.0362,-3.7652,4.2825,-2.9218,6.3134,6.4651,7.1808,5.1974
7.9153,-3.1794,-3.3613,-0.15131,9.7893,-3.8584,7.7182,-2.8796,-1.9535,2.6306,0.27445,-0.74569,9.3293,4.9815,0.84121,8.5972,9.3797,-3.664,0.41838,-3.7141
5.6856,4.9334,8.7624,1.2639,-3.6669,4.2479,-3.7694,3.6671,9.2141,4.2737,0.56876,6.4497,-3.4193,2.0327,3.7362,6.3267,0.81659,2.0831,-0.79721,9.8204
-4.216,6.0961,3.2828,7.8466,-2.1413,5.8339,0.43858,8.7564,-0.28183,0.92431,0.37291,9.3149,-0.86536,-1.7992,5.3495,4.7204,-0.91611,-4.6146,8.5793,0.19725
4.7241,9.5095,-2.1098,2.2128,2.6234,-1.642,-3.3033,-0.84185,3.021,8.1884,1.3213,4.3647,-0.47881,7.1924,8.5662,4.6725,7.2644,6.6488,9.3004,7.4721
6.9477,-4.8616,-4.1193,6.2349,-2.4227,4.7003,5.1778,2.4217,-4.9633,-1.5617,2.4633,9.2555,-0.067512,-2.6559,8.9421,-4.1844,-1.2748,3.5701,0.95396,-0.96682
2.8971,6.9431,4.544,-0.92801,-2.8948,-2.8522,8.558,3.4574,8.8405,-0.19548,-1.3633,3.72,-3.1347,1.5717,3.1172,5.2132,1.6924,8.8303,-1.8125,3.7319
-3.5346,9.8325,1.2762,6.6799,7.8488,-4.7259,-1.5982,6.19,0.078467,9.5789,-2.2081,9.9588,7.8129,-2.7218,6.7277,-2.7548,4.8288,-0.16149,6.7569,-4.0207
-0.30176,8.0435,9.081,1.1056,0.72552,1.6028,-4.0232,5.7974,6.6079,2.2335,5.2135,9.6142,0.024164,5.8402,5.8854,-0.22931,7.0985,5.6848,-2.7028,4.0532
-0.96064,2.4163,7.2282,-3.0358,7.2715,-4.1549,1.7229,-4.0574,-1.9207,3.6289,8.447,-3.4279,-1.0575,-3.8318,-0.36822,-2.6226,-4.4153,0.66064,6.391,-0.10673
8.2671,6.1682,-4.8058,-0.09388,-3.1033,-4.387,3.34,5.8948,-2.8316,4.7518,1.951,2.9619,0.84641,5.8791,3.199,-2.9355,-4.8274,5.4728,8.825,4.3973
2.7468,6.0326,-1.3924,-3.2024,-1.2512,-1.901,5.5378,-0.089529,-1.07,6.0367,9.702,-1.4961,-0.13076,1.1945,-2.1252,1.55,0.17432,-0.56651,1.9986,1.4498
7.1223,9.9667,8.4197,3.0556,0.90775,5.8119,7.8049,-2.2622,6.5312,9.0371,-4.7093,3.7785,9.2067,0.69896,1.1517,-3.4752,4.0109,9.2448,6.9506,5.1586
