4.7104,-2.2044,0.59392,-1.4156,1.3315
-0.77517,-3.2953,1.2647,-4.7467,-2.0772
-4.461,1.771,-4.6987,-2.8141,-2.0832
2.8704,4.0242,1.4227,2.1091,-2.545
1.3008,-1.4801,3.3816,0.48921,2.0435
0.088194,-3.9984,-1.0486,3.6969,2.7461
0.67686,2.93,-0.62658,2.3884,3.2265
-1.9081,-0.31568,-4.1512,-3.9677,3.0619
2.4714,1.8734,0.81377,4.7143,-2.4623
-1.6334,1.8308,3.7168,2.3871,3.005
3.8335,-0.78564,-2.9309,-4.8614,1.2971
-1.6634,1.5934,-4.0539,1.7912,-2.685
2.9601,1.3343,-3.1205,-0.14497,-1.1892
3.0478,0.25146,1.6784,-4.6528,-0.46798
-4.4976,-3.0872,2.3242,-3.8556,0.0055956
-0.97495,0.11906,1.3101,-4.2337,0.40572
4.6519,2.4833,-0.31794,1.0782,-1.5485
-0.85624,-0.80173,-1.8564,-2.6653,-2.0857
-1.6948,2.3748,1.4147,-3.5799,2.0353
1.3637,1.8647,0.62027,0.30173,4.3408
3.5803,4.5573,1.6373,4.303,0.94175
2.8828,-1.9209,-3.7512,1.169,0.93091
0.3841,-1.577,1.7403,1.8989,2.3873
2.4167,-1.1297,1.8031,-2.6557,-1.2736
2.3972,-4.7382,4.3012,-2.9316,-0.4673
-0.55205,1.3355,3.2882,-4.6263,0.093756
3.5041,0.65251,-3.219,1.6336,4.2871
-0.054651,-1.3449,4.4924,0.072546,-0.49212
4.4816,-0.78541,-3.0038,-0.142,1.3743
2.9779,-0.378,-2.8232,3.617,-0.40636
-3.6696,-1.8556,-4.9148,4.6551,0.53774
-2.6223,-2.7434,-1.9937,2.5969,-4.5877
-3.7228,-3.8406,-2.2553,-2.5332,3.022
0.3412,-3.6603,0.86448,1.7627,1.7151
-4.433,4.4652,-1.0345,2.5931,-2.9967
-0.31425,-0.07567,-3.136,0.8619,-4.8541
4.8269,2.4821,-1.0718,3.2244,2.6317
1.8222,-1.8906,-3.4541,4.2684,0.67512
3.709,-4.9229,3.323,1.3757,1.5421
-0.037894,1.1562,-3.5025,-4.8106,1.3474
-2.1234,-1.4243,1.7955,-3.1566,2.3433
-3.1698,1.4883,2.5009,-4.7326,3.8733
4.6122,3.4598,-4.8511,4.35,1.6591
2.5626,-3.9865,-3.5775,-0.15533,-3.7933
4.5035,0.88302,-4.6934,2.9479,2.1374
1.7127,0.82382,3.087,-0.43165,-0.52773
-3.1395,0.21804,-4.5285,-0.057907,1.4098
-2.1016,-0.454,1.6618,-0.74286,1.489
-4.4179,4.667,-0.43968,3.9177,1.7838
-4.5593,-3.1769,3.03,3.7429,-4.4117
